,game_index,DATE,PLAYER,TEAM,VENUE,OPPONENT,IP,H.1,R.1,ER,ERA,BB.1,SO.1,next_target_SO,PLAYER-ID,VENUE_Road,TEAM_Atlanta Braves,TEAM_Baltimore Orioles,TEAM_Boston Red Sox,TEAM_Chicago Cubs,TEAM_Chicago White Sox,TEAM_Cincinnati Reds,TEAM_Cleveland Guardians,TEAM_Colorado Rockies,TEAM_Detroit Tigers,TEAM_Houston Astros,TEAM_Kansas City Royals,TEAM_Los Angeles Angels,TEAM_Los Angeles Dodgers,TEAM_Miami Marlins,TEAM_Milwaukee Brewers,TEAM_Minnesota Twins,TEAM_New York Mets,TEAM_New York Yankees,TEAM_Oakland Athletics,TEAM_Philadelphia Phillies,TEAM_Pittsburgh Pirates,TEAM_San Diego Padres,TEAM_San Francisco Giants,TEAM_Seattle Mariners,TEAM_St. Louis Cardinals,TEAM_Tampa Bay Rays,TEAM_Texas Rangers,TEAM_Toronto Blue Jays,TEAM_Washington Nationals,OPPONENT_Atlanta Braves,OPPONENT_Baltimore Orioles,OPPONENT_Boston Red Sox,OPPONENT_Chicago Cubs,OPPONENT_Chicago White Sox,OPPONENT_Cincinnati Reds,OPPONENT_Cleveland Guardians,OPPONENT_Colorado Rockies,OPPONENT_Detroit Tigers,OPPONENT_Houston Astros,OPPONENT_Kansas City Royals,OPPONENT_Los Angeles Angels,OPPONENT_Los Angeles Dodgers,OPPONENT_Miami Marlins,OPPONENT_Milwaukee Brewers,OPPONENT_Minnesota Twins,OPPONENT_New York Mets,OPPONENT_New York Yankees,OPPONENT_Oakland Athletics,OPPONENT_Philadelphia Phillies,OPPONENT_Pittsburgh Pirates,OPPONENT_San Diego Padres,OPPONENT_San Francisco Giants,OPPONENT_Seattle Mariners,OPPONENT_St. Louis Cardinals,OPPONENT_Tampa Bay Rays,OPPONENT_Texas Rangers,OPPONENT_Toronto Blue Jays,OPPONENT_Washington Nationals,HAND.1_R
10,84,2023-07-04,Adam Wainwright,St. Louis Cardinals,Road,Miami Marlins,-1.2883314346846682,0.8690045661996775,2.071501947032073,0.7265286107097993,1.4420893575367373,0.20593266578492456,-0.7366608309930199,3.0,425794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,100,2023-07-24,Adam Wainwright,St. Louis Cardinals,Road,Arizona Diamondbacks,-0.03055860004261411,-0.4331179300313391,-0.32795464547367537,-0.26444124316728485,1.286669372715453,0.20593266578492456,-0.7366608309930199,3.0,425794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,105,2023-07-29,Adam Wainwright,St. Louis Cardinals,Home,Chicago Cubs,0.6314271024005723,0.8690045661996775,0.631827991528624,0.7265286107097993,1.2289419497818332,0.9538101385158128,-0.7366608309930199,5.0,425794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,110,2023-08-04,Adam Wainwright,St. Louis Cardinals,Home,Colorado Rockies,-1.3545300049289868,1.7370862303536885,2.071501947032073,2.212983391525426,1.5086979224601444,0.20593266578492456,0.050013984665511456,0.0,425794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,116,2023-08-11,Adam Wainwright,St. Louis Cardinals,Road,Kansas City Royals,-2.6785014098153597,1.7370862303536885,2.5513932655332225,2.708468318463968,1.939433308964846,-1.2898222796768517,-1.9166730544808168,2.0,425794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,120,2023-08-17,Adam Wainwright,St. Louis Cardinals,Home,New York Mets,0.6314271024005723,-0.4331179300313391,0.1519366730274743,0.23104368377125722,1.7795727531486683,0.9538101385158128,-1.1299982388222856,3.0,425794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,125,2023-08-22,Adam Wainwright,St. Louis Cardinals,Road,Pittsburgh Pirates,-0.5601471619971631,0.8690045661996775,1.5916106285309233,1.7174984645868836,1.8639436020516507,-0.5419448069459636,-0.7366608309930199,1.0,425794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,130,2023-08-28,Adam Wainwright,St. Louis Cardinals,Home,San Diego Padres,0.6314271024005723,1.303045398276683,-0.807845963974825,-0.759926170105827,1.6374744813120656,0.9538101385158128,-1.5233356466515513,4.0,425794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,138,2023-09-07,Adam Wainwright,St. Louis Cardinals,Road,Atlanta Braves,0.10183854044602329,1.303045398276683,1.5916106285309233,1.7174984645868836,1.67743962026611,0.9538101385158128,-0.3433234231637542,3.0,425794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,143,2023-09-12,Adam Wainwright,St. Louis Cardinals,Road,Baltimore Orioles,-0.03055860004261411,0.8690045661996775,-0.32795464547367537,-0.26444124316728485,1.5708659163886582,0.9538101385158128,-0.7366608309930199,3.0,425794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,148,2023-09-18,Adam Wainwright,St. Louis Cardinals,Home,Milwaukee Brewers,1.2934128048437588,-0.4331179300313391,-1.2877372824759747,-1.255411097044369,1.3266345116694978,0.20593266578492456,-0.7366608309930199,0.0,425794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,0,2023-03-30,Zack Greinke,Kansas City Royals,Home,Minnesota Twins,0.03563997020170429,0.4349637341226719,-0.32795464547367537,-0.26444124316728485,-0.4584750282778222,-0.5419448069459636,-0.3433234231637542,4.0,425844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,5,2023-04-05,Zack Greinke,Kansas City Royals,Home,Toronto Blue Jays,0.6314271024005723,0.8690045661996775,-0.807845963974825,-0.759926170105827,-0.9025321277672052,-0.5419448069459636,-0.3433234231637542,3.0,425844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,10,2023-04-10,Zack Greinke,Kansas City Royals,Road,Texas Rangers,-0.03055860004261411,0.4349637341226719,0.631827991528624,0.23104368377125722,-0.48955902524207895,-0.5419448069459636,-0.7366608309930199,6.0,425844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24,14,2023-04-16,Zack Greinke,Kansas City Royals,Home,Atlanta Braves,0.6314271024005723,-0.4331179300313391,0.631827991528624,0.7265286107097993,-0.16983791360972308,-0.5419448069459636,0.4433513924947771,2.0,425844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,19,2023-04-22,Zack Greinke,Kansas City Royals,Road,Los Angeles Angels,-0.03055860004261411,0.8690045661996775,0.631827991528624,0.7265286107097993,0.0877152040941191,-1.2898222796768517,-1.1299982388222856,3.0,425844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,24,2023-04-27,Zack Greinke,Kansas City Royals,Road,Minnesota Twins,-1.2221328644403495,1.303045398276683,2.071501947032073,2.212983391525426,0.7493602823332995,0.20593266578492456,-0.7366608309930199,3.0,425844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,29,2023-05-03,Zack Greinke,Kansas City Royals,Home,Baltimore Orioles,-0.03055860004261411,-0.8671587621083446,-1.2877372824759747,-1.255411097044369,0.3719117477673241,-1.2898222796768517,-0.7366608309930199,2.0,425844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,34,2023-05-08,Zack Greinke,Kansas City Royals,Home,Chicago White Sox,0.10183854044602329,0.4349637341226719,0.631827991528624,0.23104368377125722,0.34082775080306715,-0.5419448069459636,-1.1299982388222856,5.0,425844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
